SUBJECT CODE,SUBJECT TITLE,UNITS,LAB,PREREQUISITE,YEAR,SEMESTER,STUDENTS,MORNING,AFTERNOON,EVENING
"CCS111","Computer Concepts and IT Fundamentals","3","0","None","1st","1st","0","0","0","0"
"CCS112","Computer Programming 1","3","1","None","1st","1st","0","0","0","0"
"CCS113","Office Productivity Tools","3","1","None","1st","1st","0","0","0","0"
"CCS114","Keyboarding","3","1","None","1st","1st","0","0","0","0"
"COMM100","Grammar and Composition","3","0","None","1st","1st","0","0","0","0"
"HIS102","Philippine History with New Constitution","3","0","None","1st","1st","0","0","0","0"
"MAT101","Modern College Algebra","3","0","None","1st","1st","0","0","0","0"
"NSTP101","Civic Welfare Training Services 1","3","0","None","1st","1st","0","0","0","0"
"PE101","Physical Fitness","2","0","None","1st","1st","0","0","0","0"
"CCS121","PC Assembly and Troubleshooting","3","1","CCS111","1st","2nd","0","0","0","0"
"CCS122","Discrete Structures","3","0","CCS112","1st","2nd","0","0","0","0"
"COMM101","Communication Skills 1","3","0","COMM100","1st","2nd","0","0","0","0"
"FIL101","Komunikasyon sa Akademikong Filipino","3","0","None","1st","2nd","0","0","0","0"
"ITM123","Database Management System 1","3","1","CCS112,CCS113","1st","2nd","0","0","0","0"
"ITM124","Computer Programming II","3","1","CCS112","1st","2nd","0","0","0","0"
"MAT102","Modern Plane Trigonometry","3","0","MAT101","1st","2nd","0","0","0","0"
"NSTP102","Civic Welfare Training Services","3","0","NSTP101","1st","2nd","0","0","0","0"
"PE102","Rhythmic Activities","2","0","PE101","1st","2nd","0","0","0","0"
"ITM131","Practicum 1","3","0","2nd Year Standing","1st","summer","0","0","0","0"
"CCS211","Fundamentals of Electronics ","3","1","None","2nd","1st","0","0","0","0"
"CCS212","Professional Ethics in Information Technology","3","0","None","2nd","1st","0","0","0","0"
"COMM102","Communication Skills 2","3","0","COMM101","2nd","1st","0","0","0","0"
"FIL102","Pagbasa at Pagsulat Tungo sa Pananaliksik","3","0","FIL101","2nd","1st","0","0","0","0"
"HUM106","Appreciation of Arts","3","0","None","2nd","1st","0","0","0","0"
"ITM213","Data Structures ","3","1","ITM123","2nd","1st","0","0","0","0"
"ITM214","Object Oriented Programming ","3","1","ITM124","2nd","1st","0","0","0","0"
"ITM215","Operating Systems Applications","3","0","CCS121","2nd","1st","0","0","0","0"
"PE103","Individual Sports and Games","2","0","PE102","2nd","1st","0","0","0","0"
"CCS221","Computer System Organization","3","0","ITM215","2nd","2nd","0","0","0","0"
"CCS222","Internet Technology 1","3","1","CCS212","2nd","2nd","0","0","0","0"
"CCS223","System Analysis and Design","3","1","ITM214","2nd","2nd","0","0","0","0"
"COMM103","Technical Writing","3","0","COMM102","2nd","2nd","0","0","0","0"
"ITM224","Computer Accounting (Accounting Principles)","3","1","1TM214","2nd","2nd","0","0","0","0"
"ITM225","Digital Design","3","1","ITM213,ITM214","2nd","2nd","0","0","0","0"
"ITM226","Data Communications and Networking 1","3","0","CCS211","2nd","2nd","0","0","0","0"
"PE104","Team Sports and Games","2","0","PE103","2nd","2nd","0","0","0","0"
"PHY101C","Physics 1 for Computer Studies","3","0","None","2nd","2nd","0","0","0","0"
"ECO102","Economics with Taxation and Agrarian Reform","3","0","None","3rd","1st","0","0","0","0"
"ITE315","IT Elective 1","3","1","CCS223","3rd","1st","0","0","0","0"
"ITM311","Network Management","3","1","ITM226","3rd","1st","0","0","0","0"
"ITM312","Information Resource Management","3","0","CCS223","3rd","1st","0","0","0","0"
"ITM313","Multimedia Systems","3","1","ITM225","3rd","1st","0","0","0","0"
"ITM314","Database Management System 2 ","3","1","CCS221","3rd","1st","0","0","0","0"
"PHY102C","Physics 2 for Computer Studies","4","0","PHY101C","3rd","1st","0","0","0","0"
"PSY101","General Psychology with Drug Prevention","3","0","None","3rd","1st","0","0","0","0"
"ITE323","IT Elective 2 ","3","1","ITE315","3rd","2nd","0","0","0","0"
"ITF324","Free Elective 1","3","1","ITE315","3rd","2nd","0","0","0","0"
"ITM321","Systems Programming","3","1","ITM312,ITM314","3rd","2nd","0","0","0","0"
"ITM322","Software Engineering","3","1","ITM314","3rd","2nd","0","0","0","0"
"LIT103","World Literature","3","0","None","3rd","2nd","0","0","0","0"
"MAT304","Principles of Statistics and Probabilities","3","0","3rd Year Standing","3rd","2nd","0","0","0","0"
"PHI101","Philosophy of Man","3","0","None","3rd","2nd","0","0","0","0"
"SOC102","Sociology with Family Planning","3","0","None","3rd","2nd","0","0","0","0"
"ITM331","IT Practicum 2","3","0","ITM131","3rd","summer","0","0","0","0"
"ITE413","IT Elective 3","3","1","ITE323","4th","1st","0","0","0","0"
"ITF414","Free Elective 2 ","3","1","ITF324","4th","1st","0","0","0","0"
"ITM411","IT Project Research (Capstone Project) ","6","1","ITM321","4th","1st","0","0","0","0"
"ITM412","Wireless Applications","3","1","ITM322","4th","1st","0","0","0","0"
"RZL101","The Life and Works of Jose Rizal","3","0","None","4th","1st","0","0","0","0"
"ITE423","IT Elective 4","3","1","ITE413","4th","2nd","3","2","0","1"
"ITF424","Free Elective 3 ","3","1","ITF414","4th","2nd","3","2","0","1"
"ITM421","IT Project Implementation","6","1","ITM411","4th","2nd","3","2","0","1"
"ITM422","System Management and Administration","3","1","ITM412","4th","2nd","3","2","0","1"
